index,id,request_lat,request_lon,status,pano_id,pano_date,pano_lat,pano_lon,selected_for_image,tree_count,species
0,p00,29.96438,-90.03017,OK,u5d33lk3Lc7omlO6NUdQMA,2023-03,29.96443480444991,-90.03011040053657,False,0,
1,p01,29.964493,-90.030767,OK,1kFlAZa_Duen5gMFCEaKnA,2018-12,29.96443819117776,-90.03072930937813,False,0,
2,p02,29.964605,-90.031364,OK,j9jlb2WdkQ2mdaozbOwZiw,2016-08,29.96461980105747,-90.03128001279457,False,0,
3,p03,29.964718,-90.031962,OK,rM5gv4kISpgJsXQXXf4s-A,2025-04,29.96479724703452,-90.03189267431264,True,1,American sycamore
4,p04,29.96483,-90.032559,OK,dl0IBUNruM_nmhAVu-h_DA,2025-10,29.96485856200035,-90.03261578986829,True,4,American sycamore
5,p05,29.964943,-90.033156,OK,DqHvExtMJbHYcgHLOEaDVw,2025-04,29.96506506232564,-90.03308598252356,False,0,
6,p06,29.965055,-90.033753,OK,boZRQiMvZ8Rkcf3FH1RB0Q,2025-10,29.96499558446417,-90.03362212170549,True,1,American sycamore
7,p07,29.965168,-90.03435,OK,CAoSFkNJSE0wb2dLRUlDQWdJQ2toSmJIZlE.,2018-10,29.96523289565116,-90.0343367245149,False,0,
8,p08,29.965281,-90.034947,OK,Y8RFXwd_Mi-p0MWdIKZzcw,2025-04,29.96548770022111,-90.03493903786655,True,7,American sycamore
9,p09,29.965393,-90.035545,OK,zf5eBoBPgIcKnBXTD8EN2g,2025-04,29.9653656314266,-90.03548723812968,False,0,
10,p10,29.965506,-90.036142,OK,qS5ns1aM42G9HWKGVB4WvA,2025-04,29.96574050925841,-90.03605787892866,True,6,American sycamore
11,p11,29.965618,-90.036739,OK,5K1QucNDGmnJ5Wjdl0SNTA,2025-04,29.96558459877954,-90.0364611710703,False,0,
12,p12,29.965731,-90.037336,OK,IlxPiN0zVefZDZCDqBt7mg,2025-04,29.96576026933491,-90.03733706244856,True,4,American sycamore
13,p13,29.965843,-90.037933,OK,O8nOp0gBgmxx92rf5pmxmQ,2015-06,29.96593894958733,-90.03815685339254,False,0,
14,p14,29.965956,-90.038531,OK,VD4qbGqbUuX9R3jrxaS2iA,2018-12,29.96585089659305,-90.0381832043611,False,0,
15,p15,29.966068,-90.039128,OK,8eiBYtvzqCgNI8Vjn-73ag,2025-04,29.96604335865545,-90.03891947199541,True,2,American sycamore
16,p16,29.966181,-90.039725,OK,6hzfk3vo_ikzgcHZySdh7Q,2025-04,29.96619794633402,-90.03973224585067,False,0,
17,p17,29.966294,-90.040322,OK,x1cyUyDPcxprhA1YwpIwOQ,2021-01,29.96636247241883,-90.04062808334747,False,0,
18,p18,29.966406,-90.040919,OK,CAoSFkNJSE0wb2dLRUlDQWdJQ2toT3JoSUE.,2016-04,29.96655849502115,-90.04093242215954,False,0,
19,p19,29.966519,-90.041516,OK,s5IWlxj4Dla1RiCj2kWB7g,2011-06,29.96651703937914,-90.04175307352185,False,0,
20,p20,29.966631,-90.042114,OK,s5IWlxj4Dla1RiCj2kWB7g,2011-06,29.96651703937914,-90.04175307352185,False,0,
21,p21,29.966744,-90.042711,OK,hJ9uJ7Ze4y8g57_DgoFUVA,2025-02,29.96668261754148,-90.04262566699322,False,0,
22,p22,29.966856,-90.043308,OK,ZF7qxaDyRe1TsZXfvcYiMQ,2019-08,29.96655610366201,-90.04318387797231,False,0,
23,p23,29.966969,-90.043905,OK,KwNRjcNs6eMZ47Y_dRrQHg,2025-12,29.96705309679113,-90.04438822252766,True,8,American sycamore
24,p24,29.967082,-90.044502,OK,KwNRjcNs6eMZ47Y_dRrQHg,2025-12,29.96705309679113,-90.04438822252766,False,0,
25,p25,29.967194,-90.045099,OK,CAoSF0NJSE0wb2dLRUlDQWdJQzQ4NGpuaEFF,2019-02,29.96756329690857,-90.04485677891462,False,0,
26,p26,29.967307,-90.045697,OK,-NUNyJ3KQgjY6_eNAvusUQ,2025-12,29.96741074783256,-90.04618433896275,True,3,American sycamore
27,p27,29.967419,-90.046294,OK,-NUNyJ3KQgjY6_eNAvusUQ,2025-12,29.96741074783256,-90.04618433896275,False,0,
28,p28,29.967532,-90.046891,OK,CAoSFkNJSE0wb2dLRUlDQWdJQ0U4Nnp0RUE.,2018-07,29.96775073355054,-90.04673569200348,False,0,
29,p29,29.967644,-90.047488,OK,950fot6yBx12FoupSAKFdQ,2025-02,29.9676085700445,-90.04734489647161,False,0,
30,p30,29.967757,-90.048085,OK,Ty7LN0k5MK9Qwm2WaJf9MA,2025-02,29.96786179609323,-90.04847328953475,False,0,
31,p31,29.967869,-90.048683,OK,Ty7LN0k5MK9Qwm2WaJf9MA,2025-02,29.96786179609323,-90.04847328953475,False,0,
32,p32,29.967982,-90.04928,OK,lngfS9yNB856aOBDySrzqg,2025-02,29.96798291854518,-90.04943936001025,False,0,
33,p33,29.968095,-90.049877,OK,lngfS9yNB856aOBDySrzqg,2025-02,29.96798291854518,-90.04943936001025,False,0,
34,p34,29.968207,-90.050474,OK,L1iOmqa971Eb0RBhM6g6qw,2025-10,29.96820911418117,-90.05037945166292,True,3,American sycamore
35,p35,29.96832,-90.051071,OK,a2Hs2hSQfNcaCzCxMUfP1g,2025-10,29.96834783668426,-90.05096591639023,False,0,
36,p36,29.968432,-90.051668,OK,ogXM0FZ7OE0EJ9yE4AtG0g,2025-02,29.9683860330927,-90.05210674136522,False,0,
37,p37,29.968545,-90.052266,OK,CAoSFkNJSE0wb2dLRUlDQWdJQ2t4S0R4ZHc.,2019-01,29.96861779451504,-90.05231242546739,False,0,
38,p38,29.968657,-90.052863,OK,PBinbt5SEXPB0tyHDmPujA,2025-04,29.96879699648663,-90.05291017666049,False,0,
39,p39,29.96877,-90.05346,OK,D-cqiEcKLf_MLAfgazVK6w,2025-02,29.96876262964492,-90.05347202852892,False,0,
