tree_id,point_id,image_id,species_common,species_scientific,confidence_detector,lat,lon,pano_id,pano_date,bbox_x,bbox_y,bbox_w,bbox_h
live01_t01,p03,live01,American sycamore,Platanus occidentalis,0.5977,29.96479724703452,-90.03189267431264,rM5gv4kISpgJsXQXXf4s-A,2025-04,410.0,273.0,44.0,28.0
live02_t01,p04,live02,American sycamore,Platanus occidentalis,0.5585,29.96485856200035,-90.03261578986829,dl0IBUNruM_nmhAVu-h_DA,2025-10,131.0,251.0,93.0,107.0
live02_t02,p04,live02,American sycamore,Platanus occidentalis,0.5006,29.96485856200035,-90.03261578986829,dl0IBUNruM_nmhAVu-h_DA,2025-10,268.0,246.0,98.0,124.0
live02_t03,p04,live02,American sycamore,Platanus occidentalis,0.4332,29.96485856200035,-90.03261578986829,dl0IBUNruM_nmhAVu-h_DA,2025-10,556.0,263.0,67.0,62.0
live02_t04,p04,live02,American sycamore,Platanus occidentalis,0.387,29.96485856200035,-90.03261578986829,dl0IBUNruM_nmhAVu-h_DA,2025-10,35.0,236.0,67.0,56.0
live03_t01,p06,live03,American sycamore,Platanus occidentalis,0.4077,29.96499558446417,-90.03362212170549,boZRQiMvZ8Rkcf3FH1RB0Q,2025-10,203.0,252.0,81.0,80.0
live04_t01,p08,live04,American sycamore,Platanus occidentalis,0.5502,29.96548770022111,-90.03493903786655,Y8RFXwd_Mi-p0MWdIKZzcw,2025-04,437.0,304.0,28.0,35.0
live04_t02,p08,live04,American sycamore,Platanus occidentalis,0.5153,29.96548770022111,-90.03493903786655,Y8RFXwd_Mi-p0MWdIKZzcw,2025-04,611.0,311.0,29.0,37.0
live04_t03,p08,live04,American sycamore,Platanus occidentalis,0.4999,29.96548770022111,-90.03493903786655,Y8RFXwd_Mi-p0MWdIKZzcw,2025-04,69.0,276.0,49.0,25.0
live04_t04,p08,live04,American sycamore,Platanus occidentalis,0.4932,29.96548770022111,-90.03493903786655,Y8RFXwd_Mi-p0MWdIKZzcw,2025-04,480.0,295.0,38.0,24.0
live04_t05,p08,live04,American sycamore,Platanus occidentalis,0.4539,29.96548770022111,-90.03493903786655,Y8RFXwd_Mi-p0MWdIKZzcw,2025-04,369.0,340.0,97.0,38.0
live04_t06,p08,live04,American sycamore,Platanus occidentalis,0.4344,29.96548770022111,-90.03493903786655,Y8RFXwd_Mi-p0MWdIKZzcw,2025-04,0.0,348.0,126.0,39.0
live04_t07,p08,live04,American sycamore,Platanus occidentalis,0.4159,29.96548770022111,-90.03493903786655,Y8RFXwd_Mi-p0MWdIKZzcw,2025-04,305.0,293.0,115.0,43.0
live05_t01,p10,live05,American sycamore,Platanus occidentalis,0.4548,29.96574050925841,-90.03605787892866,qS5ns1aM42G9HWKGVB4WvA,2025-04,0.0,231.0,102.0,89.0
live05_t02,p10,live05,American sycamore,Platanus occidentalis,0.437,29.96574050925841,-90.03605787892866,qS5ns1aM42G9HWKGVB4WvA,2025-04,104.0,363.0,107.0,49.0
live05_t03,p10,live05,American sycamore,Platanus occidentalis,0.4364,29.96574050925841,-90.03605787892866,qS5ns1aM42G9HWKGVB4WvA,2025-04,414.0,344.0,226.0,72.0
live05_t04,p10,live05,American sycamore,Platanus occidentalis,0.4258,29.96574050925841,-90.03605787892866,qS5ns1aM42G9HWKGVB4WvA,2025-04,244.0,94.0,396.0,264.0
live05_t05,p10,live05,American sycamore,Platanus occidentalis,0.4192,29.96574050925841,-90.03605787892866,qS5ns1aM42G9HWKGVB4WvA,2025-04,0.0,330.0,154.0,68.0
live05_t06,p10,live05,American sycamore,Platanus occidentalis,0.4143,29.96574050925841,-90.03605787892866,qS5ns1aM42G9HWKGVB4WvA,2025-04,208.0,299.0,72.0,44.0
live06_t01,p12,live06,American sycamore,Platanus occidentalis,0.4801,29.96576026933491,-90.03733706244856,IlxPiN0zVefZDZCDqBt7mg,2025-04,590.0,53.0,50.0,64.0
live06_t02,p12,live06,American sycamore,Platanus occidentalis,0.4276,29.96576026933491,-90.03733706244856,IlxPiN0zVefZDZCDqBt7mg,2025-04,0.0,0.0,506.0,375.0
live06_t03,p12,live06,American sycamore,Platanus occidentalis,0.4149,29.96576026933491,-90.03733706244856,IlxPiN0zVefZDZCDqBt7mg,2025-04,541.0,314.0,99.0,43.0
live06_t04,p12,live06,American sycamore,Platanus occidentalis,0.408,29.96576026933491,-90.03733706244856,IlxPiN0zVefZDZCDqBt7mg,2025-04,224.0,210.0,103.0,49.0
live07_t01,p15,live07,American sycamore,Platanus occidentalis,0.4854,29.96604335865545,-90.03891947199541,8eiBYtvzqCgNI8Vjn-73ag,2025-04,380.0,192.0,31.0,45.0
live07_t02,p15,live07,American sycamore,Platanus occidentalis,0.4062,29.96604335865545,-90.03891947199541,8eiBYtvzqCgNI8Vjn-73ag,2025-04,301.0,287.0,130.0,129.0
live08_t01,p23,live08,American sycamore,Platanus occidentalis,0.504,29.96705309679113,-90.04438822252766,KwNRjcNs6eMZ47Y_dRrQHg,2025-12,476.0,285.0,33.0,40.0
live08_t02,p23,live08,American sycamore,Platanus occidentalis,0.4825,29.96705309679113,-90.04438822252766,KwNRjcNs6eMZ47Y_dRrQHg,2025-12,179.0,356.0,37.0,32.0
live08_t03,p23,live08,American sycamore,Platanus occidentalis,0.482,29.96705309679113,-90.04438822252766,KwNRjcNs6eMZ47Y_dRrQHg,2025-12,557.0,286.0,49.0,52.0
live08_t04,p23,live08,American sycamore,Platanus occidentalis,0.4678,29.96705309679113,-90.04438822252766,KwNRjcNs6eMZ47Y_dRrQHg,2025-12,592.0,370.0,48.0,30.0
live08_t05,p23,live08,American sycamore,Platanus occidentalis,0.4465,29.96705309679113,-90.04438822252766,KwNRjcNs6eMZ47Y_dRrQHg,2025-12,0.0,322.0,57.0,94.0
live08_t06,p23,live08,American sycamore,Platanus occidentalis,0.4205,29.96705309679113,-90.04438822252766,KwNRjcNs6eMZ47Y_dRrQHg,2025-12,163.0,77.0,48.0,43.0
live08_t07,p23,live08,American sycamore,Platanus occidentalis,0.3947,29.96705309679113,-90.04438822252766,KwNRjcNs6eMZ47Y_dRrQHg,2025-12,283.0,197.0,101.0,89.0
live08_t08,p23,live08,American sycamore,Platanus occidentalis,0.3945,29.96705309679113,-90.04438822252766,KwNRjcNs6eMZ47Y_dRrQHg,2025-12,0.0,86.0,368.0,330.0
live09_t01,p26,live09,American sycamore,Platanus occidentalis,0.5756,29.96741074783256,-90.04618433896275,-NUNyJ3KQgjY6_eNAvusUQ,2025-12,479.0,129.0,30.0,38.0
live09_t02,p26,live09,American sycamore,Platanus occidentalis,0.4524,29.96741074783256,-90.04618433896275,-NUNyJ3KQgjY6_eNAvusUQ,2025-12,245.0,192.0,395.0,224.0
live09_t03,p26,live09,American sycamore,Platanus occidentalis,0.4263,29.96741074783256,-90.04618433896275,-NUNyJ3KQgjY6_eNAvusUQ,2025-12,241.0,210.0,57.0,69.0
live10_t01,p34,live10,American sycamore,Platanus occidentalis,0.4752,29.96820911418117,-90.05037945166292,L1iOmqa971Eb0RBhM6g6qw,2025-10,195.0,259.0,136.0,134.0
live10_t02,p34,live10,American sycamore,Platanus occidentalis,0.4089,29.96820911418117,-90.05037945166292,L1iOmqa971Eb0RBhM6g6qw,2025-10,477.0,342.0,80.0,41.0
live10_t03,p34,live10,American sycamore,Platanus occidentalis,0.3916,29.96820911418117,-90.05037945166292,L1iOmqa971Eb0RBhM6g6qw,2025-10,76.0,255.0,107.0,152.0
